epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,28078,1.79114,1.93767,2.09005,0.70261,0.65652,0.69378,0.3878,1.64219,1.51321,1.89946,0.000543837,0.000543837,0.000543837
97,28189.5,1.79251,1.94938,2.08922,0.70911,0.62369,0.68813,0.36082,1.68801,1.54601,1.92753,0.000536081,0.000536081,0.000536081
98,28354,1.7565,1.90712,2.06797,0.71745,0.6503,0.69124,0.38139,1.64719,1.53106,1.89557,0.000528318,0.000528318,0.000528318
99,28520.9,1.77604,1.88958,2.0735,0.70628,0.65624,0.70766,0.40043,1.61832,1.46398,1.87744,0.000520548,0.000520548,0.000520548
100,28696.2,1.71177,1.82079,1.99845,0.77864,0.6526,0.72349,0.40606,1.62514,1.44512,1.87841,0.000512775,0.000512775,0.000512775
101,28828,1.73334,1.80276,2.04061,0.75857,0.66616,0.70687,0.406,1.60069,1.43257,1.8658,0.000505,0.000505,0.000505
102,28976.9,1.71529,1.78755,2.04276,0.73474,0.65654,0.70554,0.4025,1.63084,1.45389,1.87479,0.000497225,0.000497225,0.000497225
103,29069,1.70401,1.80499,2.02815,0.7727,0.65252,0.73169,0.40601,1.58679,1.42562,1.85636,0.000489452,0.000489452,0.000489452
104,29243.6,1.70016,1.76732,1.99911,0.75425,0.67984,0.71714,0.4132,1.58377,1.37733,1.85475,0.000481682,0.000481682,0.000481682
105,29454.1,1.68203,1.73981,1.99626,0.7366,0.66595,0.71991,0.40613,1.59378,1.4577,1.8636,0.000473919,0.000473919,0.000473919
106,29594.1,1.69064,1.75698,2.00687,0.75567,0.67292,0.72471,0.42043,1.55052,1.39269,1.82745,0.000466163,0.000466163,0.000466163
107,29749.1,1.66391,1.73434,1.98838,0.73454,0.71049,0.74334,0.42309,1.56553,1.38472,1.83237,0.000458416,0.000458416,0.000458416
108,29902.6,1.66393,1.68765,1.97845,0.75195,0.69749,0.74658,0.42063,1.56451,1.37229,1.83217,0.000450682,0.000450682,0.000450682
109,30120.1,1.67296,1.73611,1.97993,0.75656,0.71371,0.76112,0.44541,1.52445,1.36864,1.80919,0.00044296,0.00044296,0.00044296
110,30465.8,1.67032,1.7102,1.97375,0.76894,0.71139,0.77105,0.4503,1.52559,1.33141,1.81215,0.000435254,0.000435254,0.000435254
111,30653,1.68283,1.75353,2.00711,0.77079,0.71248,0.748,0.43924,1.50543,1.33659,1.79654,0.000427565,0.000427565,0.000427565
112,30862.2,1.6768,1.70378,1.97896,0.76987,0.70928,0.74915,0.43481,1.54048,1.36658,1.82123,0.000419895,0.000419895,0.000419895
